tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
tt0022753,Chandu the Magician,Chandu the Magician,1932,"Action, Adventure, Comedy",71,USA,English,"William Cameron Menzies, Marcel Varnel","Barry Conners, Philip Klein","When delusional madman Roxor kidnaps a scientist in hopes of using his death ray to achieve world dominance, he is opposed by Chandu, a powerful hypnotist and yogi.",6.3,869,"https://m.media-amazon.com/images/M/MV5BMTA5NDQ0MzY3ODFeQTJeQWpwZ15BbWU4MDU5NTg1NjMx._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022755,Charlie Chan's Chance,Charlie Chan's Chance,1932,Mystery,73,USA,English,John G. Blystone,"Earl Derr Biggers, Barry Conners","Charlie is the intended murder victim here, and he avoids death only by chance. To find the murderer (since, of course, murder does occur), Charlie must outguess Scotland Yard and New York City police.",6.1,411,"https://m.media-amazon.com/images/M/MV5BZGY3ZDAzZjctNTA1ZC00MWRlLWEwMjctYTRhZGE0MWJmZTY5XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022789,Crooner,Crooner,1932,Comedy,68,USA,English,Lloyd Bacon,"Charles Kenyon, Rian James",Story of a saxophonist and his rise to fame as a singing star.,5.9,147,"https://m.media-amazon.com/images/M/MV5BYTFkNDI2NGEtYTM0Zi00MzFlLTkyODYtZjM4NjAwYzg2NjYxXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_UY268_CR79,0,182,268_AL_.jpg"
tt0022796,Infedele,Cynara,1932,"Drama, Romance",75,USA,"English, Italian",King Vidor,"R. Gore Brown, Frances Marion",London barrister's marriage is under strain after his affair with a shop-girl who is out to have him. Told in flashback.,6.5,557,"https://m.media-amazon.com/images/M/MV5BYzY5NWY5MTEtYWNmMS00MWZkLThiN2ItOWZlMjM0NDZjYWVkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UY268_CR1,0,182,268_AL_.jpg"
tt0022799,Dancers in the Dark,Dancers in the Dark,1932,Drama,74,USA,English,David Burton,"James Ashmore Creelman, Herman J. Mankiewicz","A bandleader tries to romance a dancer by sending her boyfriend, a musician, out of town. However, things get complicated when he finds out that a gangster has designs on her too.",6.1,106,"https://m.media-amazon.com/images/M/MV5BNDZkYjI5ZWEtYjY2MS00YTQ2LWIzMGMtZTU2NGRiOTUxNDg2XkEyXkFqcGdeQXVyNDY3MzU2MDM@._V1_UY268_CR14,0,182,268_AL_.jpg"
tt0022814,Il diavolo nell'abisso,Devil and the Deep,1932,Drama,78,USA,English,Marion Gering,"Harry Hervey, Benn W. Levy",Man sets out for revenge after learning of his wife's affair.,6.4,452,"https://m.media-amazon.com/images/M/MV5BYTMyNGE1MGYtOWU2Yy00MzE0LThiYjgtZDM5MjQwYWI5ZDg0XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022824,Divorce in the Family,Divorce in the Family,1932,"Drama, Romance",81,USA,English,Charles Reisner,"Maurice Rapf, Delmer Daves","Divorced Ethnologist John Parker loves his two boys, Al and Terry, and misses them terribly when they have to leave his archaeological dig at the end of the summer. While Al goes to ...",5.9,122,"https://m.media-amazon.com/images/M/MV5BOGFhZWM0NTEtMDMxOC00ZmIyLTg4YjktMzM3YjZiN2EyZjdkXkEyXkFqcGdeQXVyMzYyMzU2OA@@._V1_UY268_CR10,0,182,268_AL_.jpg"
tt0022827,Il dottor X,Doctor X,1932,"Comedy, Crime, Horror",76,USA,English,Michael Curtiz,"Robert Tasker, Earl Baldwin",A wisecracking New York reporter intrudes on a research scientist's quest to unmask The Moon Killer.,6.4,2739,"https://m.media-amazon.com/images/M/MV5BYTg1ZTViZTAtMmQyYy00MTAwLWJhMGQtYzJkOWU3ZDlkY2MwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022834,Downstairs,Downstairs,1932,"Drama, Romance",77,USA,English,Monta Bell,"John Gilbert, Lenore J. Coffee",An amoral chauffeur seeks to seduce a young bride.,6.8,1593,"https://m.media-amazon.com/images/M/MV5BZGNlYzgxYzctMWE2Ny00OTYyLTg1NjctMzZjYzIyMTk5YjA2XkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_UY268_CR79,0,182,268_AL_.jpg"
tt0022854,Ingratitudine,Emma,1932,Drama,72,USA,English,Clarence Brown,"Frances Marion, Leonard Praskins","After decades of raising the motherless Smith children, housekeeper Emma Thatcher is faced with resentment when she marries their father.",7,891,"https://m.media-amazon.com/images/M/MV5BYjZmNGU1OTQtYmRjMC00NThmLWFlYWUtMWYwMjgyMGViZjI2XkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg"
tt0022873,Faithless,Faithless,1932,Drama,77,USA,English,Harry Beaumont,"Carey Wilson, Mildred Cram",Socialite Carol Morgan romps through the depression and her wealth while breaking up with Bill Wade and getting back together with him.,6.8,470,"https://m.media-amazon.com/images/M/MV5BZWNkMzJhOGUtYTQ1Mi00ZjUyLTkwYjktYTFiYzhlMmMxZjc2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_UY268_CR79,0,182,268_AL_.jpg"
