tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls,linktowatch
tt8936646,Tyler Rake,Extraction,2020,"Action, Thriller",116,USA,"English, Hindi, Bengali",Sam Hargrave,"Joe Russo, Ande Parks","    In an underworld of weapons dealers and traffickers, a young boy becomes the pawn in a war between notorious drug lords. Trapped by kidnappers inside one of the world's most impenetrable cities, his rescue beckons the unparalleled skill of a mercenary named Tyler Rake, but Rake is a broken man with nothing to lose, harboring a death wish that makes an already deadly mission near impossible.",6.7,141677,"https://m.media-amazon.com/images/M/MV5BMDJiNzUwYzEtNmQ2Yy00NWE4LWEwNzctM2M0MjE0OGUxZTA3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.netflix.com/watch/80230399?source=imdb
tt2819446,False Colors,False Colors,2020,Thriller,122,USA,English,William Norton,William Norton,"    It's 2003 and international weapons inspector Ted Keller (Matthew Gilliam) is working in Iraq at the outset of the U.S. invasion. Investigating an uncovered weapons cache, he discovers a biological agent of suspicious origin, which he soon realizes has put his life in jeopardy. Hitting the ground running, his perilous trajectory collides with that of beautiful Congressional aid Ileana Popescu (Lavinia Postolache), who finds herself surrounded by dangers of her own. Joining together they are forced to question everything, while fighting to stay one step ahead of those who want them silenced.",4.7,143,"https://m.media-amazon.com/images/M/MV5BOWI1ZTJkNDYtZTU1Yi00MTA4LTgxNTAtMGRmZGU2ODU1MjA2XkEyXkFqcGdeQXVyMjMzNDA1MDM@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.00b8c229-e018-f69e-2083-64fe29f8fb43?tag=imdbtag_tt_wbr_pvt_aiv-20
tt0983946,Fantasy Island,Fantasy Island,2020,"Action, Adventure, Fantasy",109,USA,English,Jeff Wadlow,"Jillian Jacobs, Christopher Roach","    The enigmatic Mr. Roarke makes the secret dreams of his lucky guests come true at a luxurious but remote tropical resort. But when the fantasies turn into nightmares, the guests have to solve the island's mystery in order to escape with their lives.",4.9,26823,"https://m.media-amazon.com/images/M/MV5BOWE2ODZhYWYtNTFiYy00MjdmLWIzZGEtNTkyOTc1NDIwMjk4XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.90b81a6f-9a7b-2814-7bf3-651886de0927?tag=imdbtag_tt_wbr_pvc_starzSub-20
tt2989692,Fat Ass Zombies,Fat Ass Zombies,2020,Comedy,87,USA,,Giorgio,"George Bennett, Christopher De Maria","    In a sleepy town, one man, a wannabe horror film director is about to have his life and the world he knows change forever. Finally, he gets the big break he has been waiting a lifetime for, but its not Hollywood knocking on his door.",3,148,"https://m.media-amazon.com/images/M/MV5BNTg1NzcwMmUtMDdjZC00MjA1LTg2NjUtNzY2MDgwZGM0YjMzXkEyXkFqcGdeQXVyMjA3OTc2MTE@._V1_UY268_CR13,0,182,268_AL_.jpg",NA
tt11057594,Relazione pericolosa,Fatal Affair,2020,"Drama, Thriller",89,USA,English,Peter Sullivan,"Peter Sullivan, Rasheeda Garner","    Ellie (Nia Long) tries to mend her marriage with her husband Marcus (Stephen Bishop) after a brief encounter with an old friend, David (Omar Epps), only to find that David is more dangerous and unstable than she'd realized. FATAL AFFAIR is directed by Peter Sullivan.",4.4,3836,"https://m.media-amazon.com/images/M/MV5BODA1M2Y5NjktYmI0NS00ZWU4LWJhODMtZGM3MjE1NTE4YzIzXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.netflix.com/watch/81068703?source=imdb
tt2197936,Fatima,Fatima,2020,Drama,113,"Portugal, USA",English,Marco Pontecorvo,"Valerio D'Annunzio, Barbara Nicolosi","    A powerful and uplifting drama about the power of faith, this movie tells the story of a 10-year-old shepherdess and her two young cousins in Fátima, Portugal, who report seeing visions of the Virgin Mary. Their revelations inspire believers but anger officials of both the Church and secular government, who try to force them to recant their story. As word of their prophecy spreads, tens of thousands of religious pilgrims flock to the site in hopes of witnessing a miracle. What they experience will change their lives forever.",6.3,479,"https://m.media-amazon.com/images/M/MV5BZTY4OWExZDYtN2ZkNy00ODA5LWE1MTktNGM3NzhmYTAwOTYyXkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_UX182_CR0,0,182,268_AL_.jpg",NA
tt10714856,Feel the Beat,Feel the Beat,2020,"Comedy, Drama, Family",109,USA,English,Elissa Down,"Michael Armbruster, Shawn Ku","    After failing to find success on Broadway, April returns to her hometown and reluctantly is recruited to train a misfit group of young dancers for a big competition.",6.3,6272,"https://m.media-amazon.com/images/M/MV5BMmIxZWMxYjktZWY1OS00MWVkLTljZDQtYWMxYTdmOWY0NzM4XkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.netflix.com/watch/80994878?source=imdb
tt9347750,The Protector,Final Kill,2020,Action,80,"USA, Thailand",English,Justin Lee,Justin Lee,"    An aging protection specialist takes on one last job before retirement, protecting a couple who stole eight million dollars from a ruthless crime family.",4.6,594,"https://m.media-amazon.com/images/M/MV5BZDY0NDk5Y2YtN2FkNi00OTQ5LTg0YmMtY2QyOTQ3YWJkNWVhXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.ecb9b856-2b7e-48e9-dc45-098ea257577f?tag=imdbtag_tt_wbr_pvs_piv-20
tt7838654,Finding Grace,Finding Grace,2020,Drama,106,USA,English,Warren Fast,Warren Fast,"    Alaska Rose has had a difficult few years since her mom left the family four years prior; acting out, rebelling against her single dad, Conner, getting into trouble in school and worse. But when she turns eighteen, Alaska finds herself in front of a judge in adult court for some of the same out-of-control behavior. In lieu of a jail sentence, Alaska is ordered to do community service in an assisted living facility where she is assigned to Mrs. Foster, an elderly resident who is unapproachable at best and hostile at her worst. Will Mrs. Foster be Alaska's undoing or will she simply be another obstacle on the road to the headstrong girl's freedom? As Alaska tries to minimally fulfill her court obligation and dodge actual jail time, she deals with peer pressure, static from her family, outside influences and demons from her past. Can she navigate the tumult and re-discover a relationship with God and her family or will she remain caught in the cycle of bad choices and lose what little of...",4.7,100,"https://m.media-amazon.com/images/M/MV5BMDdiY2VlMzYtZWU0Ny00N2U4LTk0YmEtZGM2NzY0NjNjMDZhXkEyXkFqcGdeQXVyMjQ1NDU4NTA@._V1_UX182_CR0,0,182,268_AL_.jpg",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.5eb86657-ad51-aea1-28be-94fb42d779b8?tag=imdbtag_tt_wbr_pvs_piv-20
tt8160834,Follow Me,Follow Me,2020,"Horror, Thriller",88,USA,English,Will Wernick,Will Wernick,"    A social media personality travels with his friends to Moscow to capture new content for his successful VLOG. Always pushing the limits and catering to a growing audience, they enter a cold world of mystery, excess, and danger. When the lines between real life and social media are blurred, the group must fight to escape, and survive.",5.3,736,"https://m.media-amazon.com/images/M/MV5BYjU4ZTlkN2MtOGJlNS00ZWE1LWFmYjUtNTY3MDBhZjgwZjQ3XkEyXkFqcGdeQXVyMjA1MzQyNDE@._V1_UX182_CR0,0,182,268_AL_.jpg",http://www.hulu.com/watch/1000155494?d=Amazon
