,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
46,tt9601220,Black Bear,Black Bear,2020,Drama,104,USA,English,Lawrence Michael Levine,Lawrence Michael Levine,"A filmmaker at a creative impasse seeks solace from her tumultuous past at a rural retreat, only to find that the woods summon her inner demons in intense and surprising ways.",7.3,125,"https://m.media-amazon.com/images/M/MV5BYTE0ZGVkNzctNTE1Ny00NGM2LWIzYzUtMDQ1YzAyYmQyYTE3XkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UY268_CR2,0,182,268_AL_.jpg"
47,tt12607910,Black Is King,Black Is King,2020,"Adventure, Drama, Fantasy",85,USA,English,"Emmanuel Adjei, Ibra Ake","Beyoncé, Yrsa Daley-Ward",Visual album from Beyoncé inspired by 'The Lion King'.,5.4,6990,"https://m.media-amazon.com/images/M/MV5BYWNkOWU1MDUtNzMzMy00NTAwLWExZTAtZjJlZjg0YWNiZjE3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
48,tt7978672,Black Water: Abyss,Black Water: Abyss,2020,"Action, Drama, Horror",98,"Australia, USA",English,Andrew Traucki,"John Ridley, Sarah Smith",Five friends exploring a remote cave system in Northern Australia find themselves threatened by a hungry crocodile.,4.5,1845,"https://m.media-amazon.com/images/M/MV5BZmQ5OGQ0NjQtNWJmZi00YjgxLTg5NTAtMjc5OTNjZjc0ZTlkXkEyXkFqcGdeQXVyODY5NzkyMjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
49,tt1634106,Bloodshot,Bloodshot,2020,"Action, Drama, Sci-Fi",109,USA,"English, Persian",Dave Wilson,"Jeff Wadlow, Eric Heisserer","Ray Garrison, a slain soldier, is re-animated with superpowers.",5.7,49627,"https://m.media-amazon.com/images/M/MV5BYjA5YjA2YjUtMGRlNi00ZTU4LThhZmMtNDc0OTg4ZWExZjI3XkEyXkFqcGdeQXVyNjUyNjI3NzU@._V1_UY268_CR16,0,182,268_AL_.jpg"
50,tt7263182,Bob Rubin: Oddities and Rarities,Bob Rubin: Oddities and Rarities,2020,Comedy,52,USA,English,Jeff Santo,Bob Rubin,"Netflix stand up special featuring astonishingly surreal comedian, Bob Rubin. ""The Rube"" (as his fans like to call him) brings the audience on a wild ride not soon forgotten and doesn't ...",4.4,141,"https://m.media-amazon.com/images/M/MV5BZjJjNjMzNmQtZGU3Zi00MGIzLTg1OTAtZGZlNGQzYzRjNWQ1XkEyXkFqcGdeQXVyMzA3MTk5MzM@._V1_UY268_CR4,0,182,268_AL_.jpg"
51,tt8179024,Body Cam,Body Cam,2020,"Horror, Mystery, Thriller",96,USA,English,Malik Vitthal,"Nicholas McCarthy, Richmond Riedel","When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop (Mary J. Blige) realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.2,1773,"https://m.media-amazon.com/images/M/MV5BYTczZWNmZDItYTFjMi00Y2ViLTkxM2UtMDkxYTAxOWE0YTNjXkEyXkFqcGdeQXVyMDk5Mzc5MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
52,tt11343320,Body of Night,Body of Night,2020,"Drama, Thriller",73,USA,,"Nicole D'Angelo, Gregory Hatanaka","Gregory Hatanaka, Geno McGahee",A woman explores the dark side of online dating when she meets a mysterious man who engages her in a series of increasingly dangerous tests of her ability.,7.1,948,"https://m.media-amazon.com/images/M/MV5BN2MzNjAwZjItOWY1Mi00NDAyLWJhYmEtNDdmYmE3NDg2NTA1XkEyXkFqcGdeQXVyMjM2OTAxNg@@._V1_UY268_CR9,0,182,268_AL_.jpg"
53,tt9173418,The Boy - La maledizione di Brahms,Brahms: The Boy II,2020,"Drama, Horror, Mystery",86,"USA, China, Canada, Australia",English,William Brent Bell,"Stacey Menear, Stacey Menear","After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms.",4.6,8755,"https://m.media-amazon.com/images/M/MV5BZjFmY2IwZmEtNTE4Mi00YzNmLTgzZTgtZjg1NzBhMGZjNGYzXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX182_CR0,0,182,268_AL_.jpg"
54,tt9112712,Breaking Fast,Breaking Fast,2020,"Comedy, Drama",92,USA,"English, Arabic",Mike Mosallam,Mike Mosallam,"Mo, a practicing Muslim living in West Hollywood, is learning to navigate life post heartbreak. Enter Kal, an All-American guy who surprises Mo by offering to break fast with him during the holy month of Ramadan.",7.7,112,"https://m.media-amazon.com/images/M/MV5BY2IyYWM3ODctMjA1Ny00ZTBlLWIwNGEtN2VjYzg1NjMxYjZhXkEyXkFqcGdeQXVyMTEyNDk3MjY3._V1_UX182_CR0,0,182,268_AL_.jpg"
55,tt8997712,Broil,Broil,2020,"Fantasy, Horror, Thriller",90,USA,English,Edward Drake,"Edward Drake, Piper Mars",Broil follows a dysfunctional family of demons vying to control the future of their wealth.,5.3,382,"https://m.media-amazon.com/images/M/MV5BYjhlNTExZmUtMjVkMy00MTAyLWFkOTQtM2M5YTNmYjNiMjhjXkEyXkFqcGdeQXVyMjI2OTQwODU@._V1_UX182_CR0,0,182,268_AL_.jpg"
56,tt9887580,Bulletproof 2,Bulletproof 2,2020,"Action, Comedy",97,USA,English,Don Michael Paul,"Don Michael Paul, Rich Wilkes","Set 25 years after, Jack is now working as a Special Agent with a mission to take down a powerful South African crime family. The officer begrudgingly goes undercover once again, this time taking the identity of Moses.",3.5,326,"https://m.media-amazon.com/images/M/MV5BZTRlMTNmZDktYjY1MC00YjQwLWJiMWQtMzNlOTVkMzVhZjhlXkEyXkFqcGdeQXVyODQ4NjA3Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
57,tt3418854,Burning Dog,Burning Dog,2020,"Action, Comedy, Thriller",89,USA,English,Trey Batchelor,Trey Batchelor,"When a video game designer stumbles into a blackmail conspiracy, he clashes with contract killers, Russian mobsters, and compromised cops in a wild journey through the bizarro world of Los ...",3.9,124,"https://m.media-amazon.com/images/M/MV5BOTBiNzZjYmMtNGEyMy00NDhlLWFjNTctMGQ5NGFkZDU5OTI0XkEyXkFqcGdeQXVyMzg4MzE4Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
58,tt10850450,Cabal,Cabal,2020,"Action, Horror, Thriller",89,USA,English,Rene Perez,"Barry Massoni, Rene Perez",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,2.1,124,"https://m.media-amazon.com/images/M/MV5BZWY5OWM4ZTEtNzM5OC00NzE3LTg1YjgtMGU2NDU1MGQ1YjgzXkEyXkFqcGdeQXVyMjA0MjI3MzQ@._V1_UY268_CR1,0,182,268_AL_.jpg"
59,tt11547496,Camp Blood 8: Revelations,Camp Blood 8: Revelations,2020,Horror,82,USA,English,Dennis Devine,Dennis Devine,"When a team of volleyball players get lost in the woods, they encounter a killer clown and his psychotic exhibitionist mother. Will he kill them all or will they find a way to defeat him?",2.2,114,"https://m.media-amazon.com/images/M/MV5BMWU1MzI3NzUtMGU2Ny00MGYxLThmZDctNzZiMTViMDUyYTc3XkEyXkFqcGdeQXVyMDE3MzYwNQ@@._V1_UY268_CR9,0,182,268_AL_.jpg"
60,tt6199572,Capone,Capone,2020,"Biography, Crime, Drama",103,"Canada, USA","English, Polish",Josh Trank,Josh Trank,"The 47-year old Al Capone, after 10 years in prison, starts suffering from dementia and comes to be haunted by his violent past.",4.7,11640,"https://m.media-amazon.com/images/M/MV5BZTVmMDU3MjctMmUxNi00NzI3LWI1NGMtMmY5MjE0MGVlMzAwXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg"
61,tt10419672,Carrion,Carrion,2020,Horror,72,USA,English,Michael Zaiko Hall,"Oliver Caspersen, Michael Zaiko Hall","A young woman shows up on her cousin's doorstep after a ten year absence. As dark events from the past resurface, someone in the woods follows their every move.",2.8,145,"https://m.media-amazon.com/images/M/MV5BODgxYjBjZmItNjEzZi00OTQyLThjM2ItYWE1NzcwNDI1OTRkXkEyXkFqcGdeQXVyMTczOTM0NjA@._V1_UX182_CR0,0,182,268_AL_.jpg"
62,tt8945942,Centigrade,Centigrade,2020,"Drama, Thriller",98,USA,English,Brendan Walsh,"Daley Nixon, Daley Nixon",A married couple find themselves trapped in their frozen vehicle after a blizzard and struggle to survive amid plunging temperatures and unforeseen obstacles.,3.9,357,"https://m.media-amazon.com/images/M/MV5BODM2MDQ5MjktYTM1ZS00Y2M4LTg0MDAtZjFjZDM1MDQxZGRmXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_UY268_CR7,0,182,268_AL_.jpg"
63,tt5843876,I nostri cuori chimici,Chemical Hearts,2020,"Drama, Romance",93,USA,English,Richard Tanne,"Richard Tanne, Krystal Sutherland",A high school transfer student finds a new passion when she begins to work on the school's newspaper.,6.3,3096,"https://m.media-amazon.com/images/M/MV5BZGFkMDJkOWMtNGI4MS00ZTQ0LWJkMjktYTM2YTQ1MTA3NTRiXkEyXkFqcGdeQXVyMDc2NTEzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg"
64,tt11127256,Choke,Choke,2020,"Horror, Thriller",73,USA,,Gregory Hatanaka,Gregory Hatanaka,"The lines between reality and fiction, and good and bad blur when both a nihilistic detective and a serial killer's affairs with a mysterious girl overlap.",5.7,2179,"https://m.media-amazon.com/images/M/MV5BNmI2ZDFmNTAtMWM5OS00NDVhLWEzNzgtN2E3ZmUxNzFmMDQ5XkEyXkFqcGdeQXVyMjM2OTAxNg@@._V1_UY268_CR9,0,182,268_AL_.jpg"
65,tt8482492,City of Salt,City of Salt,2020,"Drama, Mystery",115,USA,,"Alicia Oberle Farmer, John D. Farmer",Alicia Oberle Farmer,"A community in Salt Lake City, Utah, is turned upside down when a popular high school girl disappears in the midst of her father's political campaign.",5.3,535,"https://m.media-amazon.com/images/M/MV5BNTFmNDhlMzQtODJiMy00ZTAxLWJjYmYtNTZiZjlmZDY3OWZkXkEyXkFqcGdeQXVyMjU3NTQ5NTM@._V1_UY268_CR0,0,182,268_AL_.jpg"
66,tt7801350,Clover,Clover,2020,"Comedy, Crime, Thriller",101,USA,English,Jon Abrahams,Michael Testone,Two brothers owe money to the wrong guy at the wrong time. While they go on the run trying to pull together the money they become burdened with a teenage girl and hunted by assassins they don't know are following their every move,4.2,205,"https://m.media-amazon.com/images/M/MV5BNmI1OTUxNjQtYThiOS00YzlkLWFmMjEtMjlmYWU0ZGQ5MjA2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
67,tt9898858,Coffee & Kareem,Coffee & Kareem,2020,"Action, Comedy",88,USA,English,Michael Dowse,Shane Mack,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.",5.1,10627,"https://m.media-amazon.com/images/M/MV5BNTMyMmY0YWEtNTBkNC00NjAzLThjZjItZGFhMGYzMmU4NzE3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg"
68,tt11765278,Collision Earth,Collision Earth,2020,Sci-Fi,84,USA,English,Matthew Boda,Joe Roche,A large meteor shower unexpectedly bombards planet Earth. Scientists rush to the scene of the first impact and the race is on to find a solution to save humanity.,2.2,288,"https://m.media-amazon.com/images/M/MV5BYWI1ZDJlYjUtZmMzZC00YzdiLWE3YzUtNjJlMGIxOGM1ZTExXkEyXkFqcGdeQXVyODQxODA3MzY@._V1_UY268_CR9,0,182,268_AL_.jpg"
69,tt10529644,Copper Bill,Copper Bill,2020,Thriller,84,USA,English,Brett Bentman,Brett Bentman,Two thieves attempt to steal 80 million dollars of hidden Texas drug money from the famed ranch belonging to a dead member of the Cowboy Mafia.,4.4,112,"https://m.media-amazon.com/images/M/MV5BMmJlOTQxNjUtMDIxNC00ODI5LWE2ZmUtYzViZDY2Y2VjY2ExXkEyXkFqcGdeQXVyNDAxOTQxMjk@._V1_UY268_CR4,0,182,268_AL_.jpg"
70,tt6844138,Coven,Coven,2020,Horror,80,USA,English,Margaret Malandruccolo,Lizze Gordon,Five undergrad witches come together in order to perform a ritual to invoke the ancient powers of the witch Ashura. The leader of the coven gets carried away and accidentally kills one of ...,2.4,118,"https://m.media-amazon.com/images/M/MV5BMzE0MjU4NDUtMzlhNi00OGQ5LWFkZmYtYzBmNGZkZmVkYmQyXkEyXkFqcGdeQXVyNjMyMjQ2ODc@._V1_UY268_CR10,0,182,268_AL_.jpg"
71,tt12158538,Cry Havoc,Cry Havoc,2020,Horror,85,USA,English,Rene Perez,Rene Perez,A rogue police officer takes on a serial killer who murders at call,3.2,136,"https://m.media-amazon.com/images/M/MV5BNWE1MTNjOGItMTgyYi00Y2JmLWFmZDgtNjdjNGRkMTYzMTY2XkEyXkFqcGdeQXVyODcwNzA1MDE@._V1_UY268_CR6,0,182,268_AL_.jpg"
72,tt10817348,Cupid,Cupid,2020,Horror,83,USA,English,Scott Jeffrey,Scott Jeffrey,"After being horrendously embarrassed by the mean girls at school, Faye, a practicing witch, summons the evil Cupid to take revenge on all those who wronged her.",4.8,1142,"https://m.media-amazon.com/images/M/MV5BNzMyZGM5ZDctYTJkNi00NzcwLThjZGItMDgxZTdhMWZkNWY5XkEyXkFqcGdeQXVyMjM4MTU4NjQ@._V1_UY268_CR2,0,182,268_AL_.jpg"
73,tt3547306,Cut Throat City,Cut Throat City,2020,"Action, Crime, Drama",123,USA,English,RZA,P.G. Cuschieri,"Set after Hurricane Katrina, four boyhood friends out of options reluctantly accept an offer to pull off a dangerous heist in the heart of New Orleans.",4.3,141,"https://m.media-amazon.com/images/M/MV5BNGI5M2M1NzQtYWIxYy00YjQ4LWI2MDMtODQxZWFlZjY1ZGUyXkEyXkFqcGdeQXVyMzY4MTc3NzA@._V1_UY268_CR1,0,182,268_AL_.jpg"
74,tt9777644,Da 5 Bloods - Come fratelli,Da 5 Bloods,2020,"Adventure, Drama, War",154,USA,"English, Finnish, French, Vietnamese",Spike Lee,"Danny Bilson, Paul De Meo",Four African American vets battle the forces of man and nature when they return to Vietnam seeking the remains of their fallen squad leader and the gold fortune he helped them hide.,6.5,29694,"https://m.media-amazon.com/images/M/MV5BNjE4ODEwNzktYjg5Yi00N2YxLWExMmEtMmQyZTBiYWI4MGQwXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX182_CR0,0,182,268_AL_.jpg"
