,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls
88,tt6673612,Dolittle,Dolittle,2020,"Adventure, Comedy, Family",101,"USA, China, UK, Japan","English, French",Stephen Gaghan,"Stephen Gaghan, Dan Gregor",A physician who can talk to animals embarks on an adventure to find a legendary island with a young apprentice and a crew of strange pets.,5.6,39245,"https://m.media-amazon.com/images/M/MV5BMDNkODA5ZGQtODczOS00OTQxLThhMTItMjk0ZmNhMDM0YjNmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
89,tt4558376,Downhill,Downhill,2020,"Comedy, Drama",86,USA,"English, German, Italian, Hindi","Nat Faxon, Jim Rash","Jesse Armstrong, Nat Faxon","Barely escaping an avalanche during a family ski vacation in the Alps, a married couple is thrown into disarray as they are forced to reevaluate their lives and how they feel about each other.",4.8,5529,"https://m.media-amazon.com/images/M/MV5BM2QxMWFlOTktNWY0Mi00MDQ5LWExMTYtNThjZTFhNGZkZjk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
90,tt12038670,Dragon Soldiers,Dragon Soldiers,2020,"Action, Fantasy",89,USA,English,Hank Braxtan,Dan Sinclair,A lethal creature hides in the woods that surround a suburban area killing anyone who gets near. An elite group of soldiers comes into action.,2.8,144,"https://m.media-amazon.com/images/M/MV5BYjZiMWRkYjgtN2M5Yi00NTdlLWJkMzctNjNhNTcwM2NlNDFmXkEyXkFqcGdeQXVyMzIxNDc0Ng@@._V1_UY268_CR3,0,182,268_AL_.jpg"
91,tt10553210,Dreamkatcher,Dreamkatcher,2020,"Horror, Thriller",85,USA,English,Kerry Harris,"Kerry Harris, Dan V. Shea",In order to stop his bad dreams a young boy steals a dreamcatcher from a mysterious neighbor forcing his family to rescue him from a nightmarish entity.,3.8,1055,"https://m.media-amazon.com/images/M/MV5BYTU1YWY5MDItYmJiNC00NzdkLTlmZjgtMjBlYjI2NGIzYmI0XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UY268_CR2,0,182,268_AL_.jpg"
92,tt6720438,Emerson Heights,Emerson Heights,2020,"Drama, Romance",96,USA,English,Jennifer Hook,"Wendi Foy Green, Austin James","Emerson Heights is a story of love that seeks to answer the age-old question - can you follow your passion, and still follow your heart? When Cody McClain (Austin James), an aspiring actor ...",5.2,122,"https://m.media-amazon.com/images/M/MV5BMjEzNTllNWMtNWExOC00YmRiLWFjOGItNjU2YjE4MzBmYWQ1XkEyXkFqcGdeQXVyODg3MzY5MjE@._V1_UY268_CR9,0,182,268_AL_.jpg"
93,tt8354752,Emperor,Emperor,2020,"Action, Drama",99,USA,English,Mark Amin,"Mark Amin, Pat Charles",An escaped slave travels north and has chance encounters with Frederick Douglass and John Brown. Based on the life story of Shields Green.,4.8,277,"https://m.media-amazon.com/images/M/MV5BZmM3ZmVhMzMtNjk3YS00MzUwLWFkNWYtMTA0ZjBjYmMwYTU3XkEyXkFqcGdeQXVyMTgyNDE3NTc@._V1_UX182_CR0,0,182,268_AL_.jpg"
94,tt5723282,Endless,Endless,2020,"Drama, Fantasy, Romance",95,USA,English,Scott Speer,"Andre Case, Andre Case","When madly in love high school graduates Riley and Chris are separated by a tragic car accident, Riley blames herself for her boyfriend's death while Chris is stranded in limbo. Miraculously, the two find a way to connect.",4.6,214,"https://m.media-amazon.com/images/M/MV5BOGViZTgwMzYtNWY3My00ZTA5LTk2MDAtM2IwNGNmZjk2OTk0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
95,tt8171000,Equal Standard,Equal Standard,2020,"Action, Crime, Drama",101,USA,English,Brendan Kyle Cochrane,Taheim Bryan,"New York City police officers lives collide in interweaving stories of race, rank, loss, and betrayal.",5.6,104,"https://m.media-amazon.com/images/M/MV5BZjAxOGJhZmUtYmIyMi00NGI2LWFkMzYtMDY0NjI1MTY3NjUyXkEyXkFqcGdeQXVyNzAzMDgwNjk@._V1_UX182_CR0,0,182,268_AL_.jpg"
96,tt5797184,Escape from Pretoria,Escape from Pretoria,2020,Thriller,106,"UK, Australia, USA, South Africa",English,Francis Annan,"Francis Annan, L.H. Adams","Based on the real-life prison break of two political captives, Escape From Pretoria is a race-against-time thriller set in the tumultuous apartheid days of South Africa.",6.8,15305,"https://m.media-amazon.com/images/M/MV5BOWRhYWFkMDEtNTFjZC00OWJkLWJmMWQtNzI2OWRjZjVjOGYyXkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UY268_CR2,0,182,268_AL_.jpg"
97,tt8580274,Eurovision Song Contest - La storia dei Fire Saga,Eurovision Song Contest: The Story of Fire Saga,2020,"Comedy, Music",123,USA,"English, Icelandic",David Dobkin,"Will Ferrell, Andrew Steele","When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",6.5,62271,"https://m.media-amazon.com/images/M/MV5BYzRjYzA5NTQtOTE3MC00OTYzLWEzODItMzQxYWE1NDJkMDA0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg"
98,tt11634320,Expectant,Expectant,2020,Thriller,89,USA,English,Damián Romay,"Kelly Peters, Damián Romay",A pregnant woman finds herself in serious danger when she agrees to live with the couple who plan to adopt her unborn child.,5.2,111,"https://m.media-amazon.com/images/M/MV5BZWYwODljMGEtMWMwZi00MTFjLThiODgtNWQ3YTQ3NzZmMzg0XkEyXkFqcGdeQXVyNTYxMjExMzY@._V1_UX182_CR0,0,182,268_AL_.jpg"
99,tt8936646,Tyler Rake,Extraction,2020,"Action, Thriller",116,USA,"English, Hindi, Bengali",Sam Hargrave,"Joe Russo, Ande Parks","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.",6.7,141677,"https://m.media-amazon.com/images/M/MV5BMDJiNzUwYzEtNmQ2Yy00NWE4LWEwNzctM2M0MjE0OGUxZTA3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg"
