id,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls,fulldescriptions
240,tt9441638,The Big Ugly,The Big Ugly,2020,Drama,106,USA,English,Scott Wiper,"Scott Wiper, Scott Wiper",Anglo-American relations go bad when London mob bosses invest in a West Virginia oil deal in hopes of laundering dirty money.,4.3,528,"https://m.media-amazon.com/images/M/MV5BM2E5ZTUxNjEtYjE4Ni00Y2Y3LThkMDYtOGYwMzcyM2JjYWU1XkEyXkFqcGdeQXVyNzg5MzIyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg",    Anglo-American relations go bad when London mob bosses invest in a West Virginia oil deal in hopes of laundering dirty money.
241,tt10994688,The Binge,The Binge,2020,Comedy,98,USA,English,Jeremy Garelick,Jordan VanDina,"Set in a time where all drugs and alcohol are illegal, the only day anyone can participate in the ""fun"" is on Binge day.",4.9,1118,"https://m.media-amazon.com/images/M/MV5BMmU3NTU0MDctOGQ3My00OWEyLTk4NjctODQ3OTMyYzdhYjYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX182_CR0,0,182,268_AL_.jpg","    Set in a time where all drugs and alcohol are illegal, the only day anyone can participate in the ""fun"" is on Binge day."
242,tt4626020,The Bone Box,The Bone Box,2020,"Drama, Horror, Thriller",86,USA,English,Luke Genton,Luke Genton,A grave robber comes to believe he's being haunted by those he stole from.,3.4,105,"https://m.media-amazon.com/images/M/MV5BNTc5ODE0N2EtNDU3OS00YzNhLTkzMzAtOGRhZjQxNjY2MmIwXkEyXkFqcGdeQXVyNTcwMzkyNDE@._V1_UX182_CR0,0,182,268_AL_.jpg","    Depressed and reeling from the recent death of his wife, Tom has built up quite a gambling debt. He goes to stay with his wealthy Aunt Florence in hopes that she will write him into her will. When a nasty creditor makes it clear that Tom is out of time, he devises a plan with Elodie, the undertaker's daughter, to rob the graves of the rich townspeople buried in the cemetery across the road. After plundering the graves, Tom arrives back at Florence's house and events take a dark turn. Tom begins hearing and seeing strange things that seem to coincide with the deaths of the people he robbed. Even more disconcerting... he appears to be the only one sensing the occurrences. One question lingers: Is Tom's conscience playing a trick on him... or is he really being haunted by those he stole from?"
243,tt7504726,Il richiamo della foresta,The Call of the Wild,2020,"Adventure, Drama, Family",100,"Canada, USA","English, French",Chris Sanders,"Michael Green, Jack London",A sled dog struggles for survival in the wilds of the Yukon.,6.8,29152,"https://m.media-amazon.com/images/M/MV5BZDA1ZmQ2OGMtZDhkMC00ZjRkLWE3ZTMtMzA5ZTk0YjM1OGRmXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX182_CR0,0,182,268_AL_.jpg","    The Call of the Wild is a vibrant story of Buck, a big and kindhearted dog, a crossbreed between a St. Bernard and a Scotch Collie, whose carefree life of leisure was suddenly upset when he was stolen from his home in Santa Clara County, California and deported up north, to be sold in Skagway, Alaska, and taken further north, to Dawson City, Yukon, during the late 1890s Klondike Gold Rush, when strong sled dogs were in high demand. As a newcomer to the dog team delivery service - and not before long their front-runner - Buck, a dog like no other, who had been spoiled, and who had suffered, but he could not be broken, is having the time of his life. Forced to fight to survive, eventually taken by his last owner, John Thornton, to proximity of the Arctic Circle, somewhere between Yukon and Alaska, he progressively depends on his primal instincts, sheds the comforts of civilization and responds to ""the call of the wild"", as master of his own."
244,tt7411112,The Clearing,The Clearing,2020,Horror,88,USA,English,David Matalon,David Matalon,A father must battle his way through the zombie apocalypse to save his daughter.,4.1,429,"https://m.media-amazon.com/images/M/MV5BZDE2MWE2NzktNmUyYi00ZTdkLTk4NDktMjk1ZDFlZmJiMzYxXkEyXkFqcGdeQXVyMTY4NzI0Mzc@._V1_UX182_CR0,0,182,268_AL_.jpg",    A father must battle his way through the zombie apocalypse to save his daughter.
245,tt10933680,The Debt Collector 2,The Debt Collector 2,2020,Action,97,USA,English,Jesse V. Johnson,"Jesse V. Johnson, Stu Small","A pair of debt collectors are thrust into an explosively dangerous situation, chasing down various lowlifes while also evading a vengeful kingpin. -Samuel Goldwyn Films-",5.7,1219,"https://m.media-amazon.com/images/M/MV5BMDY1NzhlZDAtYTM1Mi00NjU3LTk4MWQtZDgxZGQxYzhmZTNhXkEyXkFqcGdeQXVyNzIzMTc2Mw@@._V1_UX182_CR0,0,182,268_AL_.jpg","    Debt collectors French and Sue get to work doing what they do best _ cracking skulls and breaking bones _ as they chase down the various lowlifes who owe money to their boss, Tommy. They're summoned to Las Vegas to collect from a dirty casino owner, who happens to be a vicious ex-lover of Sue's. Meanwhile, a notorious drug kingpin is on the warpath to kill French and Sue to avenge his brother's death. Facing danger from all angles, the pair will have no other choice but to fight their way out of an explosively dangerous situation."
246,tt10358198,The Dinner Party,The Dinner Party,2020,"Horror, Thriller",116,USA,English,Miles Doleac,"Miles Doleac, Michael Donovan Horn","A budding playwright and his wife attend a dinner party hosted by wealthy, cultural elites, who have promised to bankroll the writer's latest play to Broadway, but, in fact, have darker designs in mind for the couple.",5.9,2255,"https://m.media-amazon.com/images/M/MV5BNDhjM2E3MGYtNWQ4Zi00MDU5LWJjNjYtNDM4NmFlMDA3ZDRjXkEyXkFqcGdeQXVyNDQwNDk4NzI@._V1_UX182_CR0,0,182,268_AL_.jpg","    A budding playwright and his wife attend a dinner party hosted by wealthy, cultural elites, who have promised to bankroll the writer's latest play to Broadway, but, in fact, have darker designs in mind for the couple."
247,tt8145202,The F**k-It List - La lista dei fanculo,The F**k-It List,2020,Comedy,103,USA,English,Michael Duggan,"Michael Duggan, Dan McDermott","After a prank blows up on a high school senior's life, he shares a list of certain things he wishes he'd done differently.",5.1,3515,"https://m.media-amazon.com/images/M/MV5BYjFiNzE4ZDQtMjFiNy00NjhjLTg0ZjMtNWYxYjZlMThiM2NiXkEyXkFqcGdeQXVyMDYwMjQ2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","    Brett Blackmore is a high school senior whose exemplary GPA and college resume hides the fact that he's unintentionally sold his childhood for a future he's not even sure he wants. When his high-school senior prank goes wrong, his life crumbles before his eyes. In frustration he launches the F**k-It List - of all the things he wishes he'd done but was too afraid. The list goes viral and touches a nerve with teenagers everywhere, exposing the educational-industrial complex as a money-machine designed to encourage anxiety-ridden parents to sell their kids into years of Tiger-Mom style servitude. Brett decides he's going to break free - and make a run for a future of his own design."
248,tt4255196,The Great Silence,The Great Silence,2020,"Action, Sci-Fi, Thriller",90,USA,,Charlie Buhler,Jenna Lyng Adams,"When a global pandemic forces a TV actress to escape to her rural hometown, an intruder from her past proves as dangerous as the encroaching virus.",4,554,"https://m.media-amazon.com/images/M/MV5BMGQ4YTlmZjctNzhhNi00ZTFiLWE5MDEtYWQ2YTc5NWYxMzYwXkEyXkFqcGdeQXVyMzMzMDQ3MzY@._V1_UX182_CR0,0,182,268_AL_.jpg","    As a global pandemic engulfs Los Angeles, rising TV star Ava Boone is forced to flee the mounting chaos and return to her rural hometown. As she struggles to acclimate to a way of life she left behind long ago, her homecoming attracts a dangerous figure from her past- threatening both her and the family that serves as her only sanctuary."
249,tt3612126,The Grudge,The Grudge,2020,"Horror, Mystery",94,"USA, Canada",English,Nicolas Pesce,"Nicolas Pesce, Nicolas Pesce",A house is cursed by a vengeful ghost that dooms those who enter it with a violent death.,4.2,17156,"https://m.media-amazon.com/images/M/MV5BMjY3NWZmOTktMmVhZi00M2Q1LTg2MmQtOGE2NmE3MWNlZjY3XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX182_CR0,0,182,268_AL_.jpg","    After a young housewife murders her family in her own house, a single mother and young detective tries to investigate and solve the case. Later, she discovers the house is cursed by a vengeful ghost that dooms those who enter it with a violent death. Now, she runs to save herself and her son from demonic spirits from the cursed house in her neighborhood."
