,tconst,title,original_title,year,genre,duration,country,language,director,writer,description,avg_vote,votes,imageurls,fulldescriptions,linktowatch
0,tt4875960,1 Interrogation,1 Interrogation,2020,Crime,95,USA,"English, Russian",Dan Hewitt Owens,"Charidy Wronski, Dan Hewitt Owens","Detective Bill Daniels has spent the last 40 years in the interrogation unit. Some are criminals, some are victims. Faced with the truth, some lie, some are defiant and some find redemption.",8.4,1036,"https://m.media-amazon.com/images/M/MV5BZDFhODE1YjMtMzEzOS00OTMzLWE0ZDktODM3YjkzNDVjZWFmXkEyXkFqcGdeQXVyMjg0MTcyMQ@@._V1_UY268_CR4,0,182,268_AL_.jpg","    Detective Bill Daniels has spent the last 40 years in the interrogation unit. Some are criminals, some are victims. Faced with the truth, some lie, some are defiant and some find redemption.",https://tubitv.com/
1,tt7939428,10 cose da fare prima di lasciarsi,10 Things We Should Do Before We Break Up,2020,Romance,74,USA,English,Galt Niederhoffer,Galt Niederhoffer,"After Abigail, a single mom of two, becomes pregnant following a one-night stand with Ben, the unlikely pair try to make a go of it.",4.7,486,"https://m.media-amazon.com/images/M/MV5BNWQzZmQ5MjMtMGYzMC00ZjBkLTg1YmItY2ViYWZkMDgzMjllXkEyXkFqcGdeQXVyMjI4MTYwNTY@._V1_UX182_CR0,0,182,268_AL_.jpg","    After Abigail, a single mom of two, becomes pregnant following a one-night stand with Ben, the unlikely pair try to make a go of it.",https://tubitv.com/
2,tt7661376,2 Minutes of Fame,2 Minutes of Fame,2020,Comedy,97,USA,English,Leslie Small,"Devon Shepard, Yamara Taylor",An up-and-coming stand-up comic moves to L.A. to pursue a film career after video clips of his act make him an online sensation.,5.1,273,"https://m.media-amazon.com/images/M/MV5BZjkzNjRlOWMtMDc1Ny00ZTA2LWIzZDItMmY4ZDMxODBjMDhhXkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_UY268_CR4,0,182,268_AL_.jpg",    An up-and-coming stand-up comic moves to L.A. to pursue a film career after video clips of his act make him an online sensation.,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.e0b95521-75db-85c2-8e31-50850e667e83?tag=imdbtag_tt_wbr_pvc_hbo-20
3,tt8241876,5th Borough,5th Borough,2020,Crime,95,USA,English,Steve Stanulis,"John Bianco, Steve Stanulis","Nikos daughter is diagnosed with a brain tumor. He needs money. Lots of it. On Staten Island, your options are limited. But you can always count on Family.",8.6,1178,"https://m.media-amazon.com/images/M/MV5BYzY3MTgxMjAtNDVlYi00MDJhLTgyMTUtY2Y1NWU4MTQ1ZjI3XkEyXkFqcGdeQXVyOTE1MDc0Ng@@._V1_UY268_CR3,0,182,268_AL_.jpg","    5th Borough, starring Steve Stanulis, Tara Reid, James Russo, Audrey Landers, Federico Castelluccio, Marc John Jefferies, and directed by Steve Stanulis, can be related to ""The Sopranos"" meets ""The Departed"". The story line is about Nicks' daughter, who is diagnosed with a brain tumor. He needs money- lots of it. On Staten Island, your options are limited, but you can always count on family. The film recently screened at Hell's Kitchen Film Festival and won two awards- ""Best Drama"" and ""Best Ensemble Cast"". The Netflix release will be in Spring 2020.",https://tubitv.com/
4,tt10525236,A Daughter's Ordeal,A Daughter's Ordeal,2020,Thriller,86,USA,English,Richard Switzer,John Burd,"Hope has always been close to her daughter Lacy. But since her divorce from her husband, Hope has been worried about Lacy, who is struggling to cope. So Hope is excited when Lacy brings ...",4.8,154,"https://m.media-amazon.com/images/M/MV5BYTg5NTdhMGUtNzc1Ni00MzdkLTkxYmItZDA0MzIwMzI2ZGFiXkEyXkFqcGdeQXVyNzAwNTY5MzA@._V1_UX182_CR0,0,182,268_AL_.jpg","    Hope has always been close to her daughter Lacy. But since her divorce from her husband, Hope has been worried about Lacy, who is struggling to cope. So Hope is excited when Lacy brings home a new friend, Cassie, whose parents recently divorced as well. Lacy and Cassie quickly become the best of friends. But when Cassie begins to drive a wedge between Lacy and her mother, Hope begins to wonder if Cassie is the godsend she first imagined.",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.76b90cf6-3671-9476-4079-366bc0ef1170?tag=imdbtag_tt_wbr_pvt_aiv-20
5,tt11390036,La verità di Grace,A Fall from Grace,2020,"Drama, Thriller",115,USA,English,Tyler Perry,Tyler Perry,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.",5.8,10075,"https://m.media-amazon.com/images/M/MV5BNDM2YjliZDUtZWUzYi00ZDY4LWJlMTEtZGZiZDViZjJiMTllXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg","    Grace Waters (Crystal Fox), a longtime pillar of her Virginia community, stays composed when her ex weds his mistress and her son moves away. With convincing from her best friend Sarah (Phylicia Rashad), she tries putting herself first, and a handsome stranger (Mehcad Brooks) becomes her surprise second love. Yet any woman can snap, and Grace's new husband soon ravages her life, her work and - many say - her sanity. Shuttered in a cell awaiting trial for his murder, Grace's only hope for vindication lies with Jasmine Bryant (Bresha Webb), a public defender who has never tried a case. Co-starring Oscar nominee Cicely Tyson and writer/director Tyler Perry, A FALL FROM GRACE is a mesmerizing thriller built from unthinkable secrets.",https://www.netflix.com/watch/81127902?source=imdb
6,tt12036096,Ninna nanna mortale,A Mother Knows Worst,2020,"Drama, Thriller",86,USA,English,Robert Malenfant,"Rebeca Hughes, Stephen Lyons","After losing her child, Olivia Davis meets a woman and her daughter and admiration turns into obsession.",5.4,123,"https://m.media-amazon.com/images/M/MV5BYWU5MjYwZjktMzkzNy00NTIyLTgyMDYtZDQ1MzM1ZjE2OTQzXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY268_CR2,0,182,268_AL_.jpg","    After losing her child, Olivia Davis meets a woman and her daughter and admiration turns into obsession.",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.bab88cdc-023f-bc1d-4c6a-3ce8f7fd08fd?tag=imdbtag_tt_wbr_pvc_lifetimemovieclub-20
7,tt3278540,A Nice Girl Like You,A Nice Girl Like You,2020,"Comedy, Romance",94,USA,English,"Chris Riedell, Nick Riedell","Ayn Carrillo Gailey, Andrea Marcellus","After being accused of being too inhibited by her ex-boyfriend, a violinist creates a rather wild to-do list that sends her on a whirlwind journey of self-discovery.",5.1,905,"https://m.media-amazon.com/images/M/MV5BZGVlZjkyMGItMWJiMC00MzFkLWIyYTMtZTU3Yjg3OTM3M2QwXkEyXkFqcGdeQXVyODQ2ODY5MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg","    ""A Nice Girl Like You"" is a romantic-comedy film starring award-winning actresses Lucy Hale (Pretty Little Liars, Truth or Dare), Mindy Cohn (Consequences, The Facts Of Life), Jackie Cruz (Orange Is The New Black), Australian actor Leonidas Gulaptis (The Answer, Gala and Godfrey), and Adhir Kalyan (Rules of Engagement ). Based on the popular memoir by Ayn Carrillo-Gailey, the story follows Lucy Neal (Hale), a violinist who is thrown for a loop when she is accused of being too inhibited by her ex-boyfriend. In an effort to prove him wrong, Lucy creates a rather wild to-do list that sends her on a whirlwind and surprising journey of self-discovery, friendship, and new love.",http://www.hulu.com/watch/1000136532?d=Amazon
8,tt8426182,A Nun's Curse,A Nun's Curse,2020,Horror,73,USA,,Tommy Faircloth,Tommy Faircloth,A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,2.7,160,"https://m.media-amazon.com/images/M/MV5BMDBmOTlhMGQtOGJmNC00MmEzLTg1MWYtZGMyYmIxMThkNmFkXkEyXkFqcGdeQXVyNDQxNjE3ODc@._V1_UY268_CR2,0,182,268_AL_.jpg","    While on a weekend trip, a group of friends are forced to seek shelter inside an abandoned prison where a nun named Sister Monday had once been assigned. During her time at the prison, Sister Monday was suspected of killing prisoners who were serving out their sentences but before she could be questioned, she disappeared. Once inside the prison, terrifying childhood memories and family conflict come to the surface for the group where they are forced to face their fears. Don't CROSS Sister Monday. She will PREY for you.",https://www.amazon.com/gp/video/detail/amzn1.dv.gti.b4b89370-7335-fe90-602a-115420aa6766?tag=imdbtag_tt_wbr_pvs_piv-20
9,tt9646548,Açela,Açela,2020,"Animation, Adventure, Comedy",70,USA,English,Özgür Dogruöz,Özgür Dogruöz,Açela and her friends embark on an enchanting journey deep into a mysterious forest to discover the village's legend of the Taleteller.,6.5,947,"https://m.media-amazon.com/images/M/MV5BNjVjNjRjMzMtNTIyMS00ODE1LWEwNDAtYTVhNDJiY2I3YmZkXkEyXkFqcGdeQXVyNzk5ODY5Njk@._V1_UY268_CR9,0,182,268_AL_.jpg",    Açela and her friends embark on an enchanting journey deep into a mysterious forest to discover the village's legend of the Taleteller.,https://www.amazon.com/gp/video/detail/amzn1.dv.gti.feb7e8fa-0828-31f9-c3c3-bb9ab33f8b6d?tag=imdbtag_tt_wbr_pvt_aiv-20
